PD+,,,,PD-,,,
Mean Tap Power [mW], Power Stdev, Mean HD Voltage [V], Voltage Stdev,Mean Tap Power [mW], Power Stdev, Mean HD Voltage [V], Voltage Stdev
0.000211439,0.000217593,-0.000197679,4.70E-05,8.90E-06,7.52E-05,0.000356143,0
0.135654211,0.001063729,0.069535814,0,0.086347589,0.000432671,-0.046100039,0.00E+00
0.43947642,0.000851118,0.226579443,0,0.486885675,0.006715373,-0.255459786,0
0.71374852,0.007397148,0.364703506,0,0.862026808,0.005435933,-0.446290523,5.55E-17
0.974636106,0.01034219,0.502791524,0,1.179552218,0.006409184,-0.613647044,0
1.246930402,0.008263751,0.639646292,0,1.565441512,0.002830797,-0.8161304,1.11E-16
1.529316114,0.009286883,0.796442568,0,1.997480772,0.002175057,-1.042020798,0
1.774290482,0.008240862,0.926434517,0,2.178278102,0.007704819,-1.138667464,0.00E+00
2.066444094,0.00791018,1.078279257,0,2.387302136,0.009749168,-1.243979168,5.73E-04
2.359416988,0.004878735,1.238851428,0,2.590643474,0.007861365,-1.35340929,0.00E+00
0.124836376,0.000575725,0.064220242,0,2.85904822,0.007550049,-1.493557334,0.00E+00
2.90691657,0.011986573,1.50245297,0,3.331733866,0.005581393,-1.734225631,0
3.199523036,0.012550539,1.64700675,2.22E-16,3.441109694,0.009020719,-1.78786695,2.22E-16
3.430201204,0.009769909,1.760741782,0.000925159,3.594063736,0.009450059,-1.86186862,2.22E-16
3.727249568,0.019233661,1.929571748,0,3.693978628,0.007173395,-1.921392441,0
3.985226154,0.014175501,2.074453592,0,4.397251924,0.005420917,-2.274421692,0
4.256183654,0.008017455,2.215878248,0,4.702299646,0.01014236,-2.44274497,0
4.524618294,0.012675724,2.348827362,0,5.040318148,0.00771163,-2.624121666,0.00E+00
4.803627544,0.027232659,2.495934248,0,5.360274296,0.017976481,-2.804145336,0
0.108008399,0.000902724,0.055857059,6.94E-18,5.609559174,0.017757894,-2.94393754,0.00E+00
5.38822161,0.01918178,2.784889936,0,5.837342052,0.016080959,-3.039695978,0.00E+00
5.677718576,0.013285043,2.907162666,0,6.034160964,0.01565999,-3.140868902,0.000761986
5.94933722,0.015154911,3.044657946,0,6.202023384,0.013177212,-3.228043318,0
6.19941624,0.013681008,3.171852589,0,6.315556168,0.020376519,-3.303753138,0
6.4766353,0.022535449,3.304329634,0,6.550792974,0.007593479,-3.398559332,4.44E-16
6.730160676,0.018999263,3.437054873,0,6.856414118,0.009764706,-3.552253008,0
6.98648598,0.019350036,3.561414671,9.29E-05,7.122184616,0.015607489,-3.676150084,0.00E+00
7.31410859,0.015388725,3.730756283,4.44E-16,7.414618136,0.010099759,-3.789035559,0
7.55234044,0.016706946,3.827898979,4.44E-16,7.587927298,0.019710392,-3.875726223,0
7.80241918,0.020464299,3.950315952,0,7.717085536,0.015660104,-3.932164908,0.00E+00
8.060252666,0.018616901,4.070139885,0,7.853124476,0.008982084,-3.987466574,0.00E+00
